name,category,address,review_index,review_text,review_info,visit_time
버거킹 먹골역점,햄버거,,1,💜 버거킹 먹골역점 : 어플 설치하면 할인쿠폰도 많고 회원 승급하면 무료와퍼도 맛볼 수 있고 지금 와퍼주니어는 매장에서 2900원 단품행사도 하고 있어서 가성비 너무 좋네요. 콜라와 닥터페퍼는 제로 기준으로 음료도 1000원 접기,방문일 25.12.19.금 2025년 12월 19일 금요일 7번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
버거킹 먹골역점,햄버거,,2,💜 버거킹 먹골역점 : 다양한 쿠폰도 좋지만 매장 자체에서 행사하는 것도 가성비가 좋아요. 예를들면 치즈와퍼 2개와 후라이 그리고 콜라가 9000원이면 매장 행사 품목 가성비가 굿이었네요.🙏 접기,방문일 25.11.24.월 2025년 11월 24일 월요일 6번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
버거킹 먹골역점,햄버거,,3,친절하고 버거 맛있게만들어요. 안쪽에 짐 엄청 두고 자는 암주머니도 있어요,방문일 1.7.수 2026년 1월 7일 수요일 1번째 방문 인증 수단 결제내역,점심에 방문
버거킹 먹골역점,햄버거,,4,여기 손님 많고 진짜 맛있어요 ㅎㅎㅎㅎ,방문일 25.12.26.금 2025년 12월 26일 금요일 9번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
버거킹 먹골역점,햄버거,,5,✅️ 버거킹 먹골역점 : 온라인 쿠폰도 많지만 매장 자체에 포스터 자세히 보면 행사제품도 많아서 그것도 좋아요.,방문일 25.11.12.수 2025년 11월 12일 수요일 5번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
버거킹 먹골역점,햄버거,,6,추석에 비까지 오니 매장한산하네요. 버거는 늘 맛있습니다,방문일 25.10.7.화 2025년 10월 7일 화요일 63번째 방문 인증 수단 영수증,저녁에 방문
버거킹 먹골역점,햄버거,,7,"사진과 너무 달랐지만, 괜찮았어요. 햄버거 맛은 그저그러했어요. 매장이 깔끔해요.",방문일 25.11.26.수 2025년 11월 26일 수요일 1번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
버거킹 먹골역점,햄버거,,8,💜 버거킹 먹골역점 : 와퍼주니어 2700원에 행사해서 3개에 음료 제로슈거 1000원에 하니까 9100원에 햄버거 3개에 음료까지 만원도 안되는 가격에 햄버거 제대로 맛있게 먹었습니다.👍 접기,방문일 25.9.26.금 2025년 9월 26일 금요일 4번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
버거킹 먹골역점,햄버거,,9,바삭킹2조각 주문했는데 둘중하나가 오래된건지 바꿔달라고 하니 미안해하며 군말없이 바꿔주시네요 친절함에 엄지척~~!,방문일 25.10.31.금 2025년 10월 31일 금요일 1번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
버거킹 먹골역점,햄버거,,10,매장넓고 친절해요! 트머와 맛남,방문일 25.11.5.수 2025년 11월 5일 수요일 1번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장
