category,amt,year_month
간이주점,22766114240,202201
고기요리,124196114177,202201
디저트/음료,117398382246,202201
별식/퓨전요리,20774301698,202201
분식,34968569481,202201
양식,16304454928,202201
일식/수산물,74843080394,202201
중식,24530368663,202201
패스트푸드,33408821448,202201
한식,213192406675,202201
간이주점,19661147742,202202
고기요리,101610292620,202202
디저트/음료,99223701088,202202
별식/퓨전요리,18032288155,202202
분식,29713631712,202202
양식,13281105449,202202
일식/수산물,58911194692,202202
중식,20949226464,202202
패스트푸드,30108605703,202202
한식,176702550819,202202
간이주점,28285765284,202203
고기요리,129826102884,202203
디저트/음료,123094254922,202203
별식/퓨전요리,22654354242,202203
분식,37216633432,202203
양식,15084549607,202203
일식/수산물,69771463667,202203
중식,24038110188,202203
패스트푸드,34577865059,202203
한식,224222868592,202203
간이주점,39985036510,202204
고기요리,156322966880,202204
디저트/음료,138203101465,202204
별식/퓨전요리,23785755327,202204
분식,42354998744,202204
양식,18581358922,202204
일식/수산물,84096832567,202204
중식,25993962700,202204
패스트푸드,35678897736,202204
한식,267264171523,202204
간이주점,49327750997,202205
고기요리,183067485066,202205
디저트/음료,149469259901,202205
별식/퓨전요리,26478390716,202205
분식,47004183517,202205
양식,21996699788,202205
일식/수산물,94928512429,202205
중식,29501583988,202205
패스트푸드,37793257339,202205
한식,308093639341,202205
간이주점,48616467467,202206
고기요리,170765482726,202206
디저트/음료,141820520847,202206
별식/퓨전요리,25342448398,202206
분식,45544371754,202206
양식,20848464456,202206
일식/수산물,83652291809,202206
중식,28709057511,202206
패스트푸드,36918987472,202206
한식,287889691641,202206
간이주점,48562519457,202207
고기요리,174086761972,202207
디저트/음료,142759932886,202207
별식/퓨전요리,24480871366,202207
분식,46263928889,202207
양식,21331278255,202207
일식/수산물,82203074230,202207
중식,29321820666,202207
패스트푸드,37576463760,202207
한식,289433815511,202207
간이주점,46095341758,202208
고기요리,165068275218,202208
디저트/음료,142546934320,202208
별식/퓨전요리,26758136258,202208
분식,47668692633,202208
양식,21640560609,202208
일식/수산물,82126273050,202208
중식,29858254278,202208
패스트푸드,39289666951,202208
한식,288557057790,202208
간이주점,47497209029,202209
고기요리,157066845699,202209
디저트/음료,147249530067,202209
별식/퓨전요리,25826325477,202209
분식,43945214842,202209
양식,19737087334,202209
일식/수산물,89129548687,202209
중식,28967549963,202209
패스트푸드,38065122195,202209
한식,277986303207,202209
간이주점,49194095203,202210
고기요리,176375008618,202210
디저트/음료,149164833206,202210
별식/퓨전요리,30235353660,202210
분식,49416305645,202210
양식,22655258777,202210
일식/수산물,94854235561,202210
중식,32336457368,202210
패스트푸드,40469248871,202210
한식,307304528894,202210
간이주점,44645061175,202211
고기요리,160787616428,202211
디저트/음료,135397504627,202211
별식/퓨전요리,28039167669,202211
분식,43766597586,202211
양식,20168667331,202211
일식/수산물,83194827117,202211
중식,30174820630,202211
패스트푸드,36934232450,202211
한식,276774730734,202211
간이주점,47817846526,202212
고기요리,174262818242,202212
디저트/음료,140967307260,202212
별식/퓨전요리,31483443660,202212
분식,43931939096,202212
양식,23910638764,202212
일식/수산물,98508874722,202212
중식,32510837538,202212
패스트푸드,38442716301,202212
한식,299229267456,202212
간이주점,46281704151,202301
고기요리,152993436098,202301
디저트/음료,131709122023,202301
별식/퓨전요리,28314912889,202301
분식,42128756531,202301
양식,21509703056,202301
일식/수산물,85840312209,202301
중식,31098991399,202301
패스트푸드,36796506784,202301
한식,271168668769,202301
간이주점,44558567367,202302
