year_month,age_group,sex,card_tpbuz_nm_2,amt,cnt
202201,30대,F,간이주점,1432315527,38769
202201,30대,F,고기요리,7775325923,211491
202201,30대,F,디저트/음료,13030676471,1277531
202201,30대,F,별식/퓨전요리,1448624943,69825
202201,30대,F,분식,2874156204,247437
202201,30대,F,양식,1588170006,50310
202201,30대,F,일식/수산물,4182705880,96491
202201,30대,F,중식,1532892037,66655
202201,30대,F,패스트푸드,3324520158,284653
202201,30대,F,한식,13910667258,500843
202201,30대,M,간이주점,3538023530,80383
202201,30대,M,고기요리,15707384205,387353
202201,30대,M,디저트/음료,14035365362,1414171
202201,30대,M,별식/퓨전요리,2609519873,128265
202201,30대,M,분식,3893240316,311299
202201,30대,M,양식,2444712170,78081
202201,30대,M,일식/수산물,8183682892,156133
202201,30대,M,중식,3392329609,142959
202201,30대,M,패스트푸드,5076119658,448153
202201,30대,M,한식,24121045061,800723
202201,40대,F,간이주점,1732404295,49958
202201,40대,F,고기요리,12395837797,344824
202201,40대,F,디저트/음료,16621665249,1500550
202201,40대,F,별식/퓨전요리,2091408560,101293
202201,40대,F,분식,4953504467,400109
202201,40대,F,양식,2186815753,71293
202201,40대,F,일식/수산물,6691711369,161055
202201,40대,F,중식,2616219148,117094
202201,40대,F,패스트푸드,4645745778,394058
202201,40대,F,한식,21557203608,737002
202201,40대,M,간이주점,3701028624,83971
202201,40대,M,고기요리,21565734853,531295
202201,40대,M,디저트/음료,16521442810,1482257
202201,40대,M,별식/퓨전요리,3530874970,166415
202201,40대,M,분식,5831088070,440594
202201,40대,M,양식,2775949739,81157
202201,40대,M,일식/수산물,12369077994,235191
202201,40대,M,중식,4957708872,208803
202201,40대,M,패스트푸드,5571104658,453860
202201,40대,M,한식,35143483369,1072218
202201,50대,F,간이주점,1190680955,37052
202201,50대,F,고기요리,12103738802,327411
202201,50대,F,디저트/음료,13021246105,1069445
202201,50대,F,별식/퓨전요리,1964797660,96984
202201,50대,F,분식,3884805117,302309
202201,50대,F,양식,1348390694,47517
202201,50대,F,일식/수산물,7989215302,199946
202201,50대,F,중식,2042118050,90906
202201,50대,F,패스트푸드,2876920505,236112
202201,50대,F,한식,22332732598,752754
202201,50대,M,간이주점,2971679855,70047
202201,50대,M,고기요리,19932151637,494538
202201,50대,M,디저트/음료,12213384681,988897
202201,50대,M,별식/퓨전요리,3366816260,163775
202201,50대,M,분식,4736925334,346559
202201,50대,M,양식,1691809072,53380
202201,50대,M,일식/수산물,13548524303,268149
202201,50대,M,중식,4021530680,174781
202201,50대,M,패스트푸드,3475127435,272803
202201,50대,M,한식,35035999391,1079506
202201,60대 이상,F,간이주점,444771610,14797
202201,60대 이상,F,고기요리,6784992394,189752
202201,60대 이상,F,디저트/음료,7371499090,548225
202201,60대 이상,F,별식/퓨전요리,1111240096,58436
202201,60대 이상,F,분식,1934542854,146012
202201,60대 이상,F,양식,499270455,17209
202201,60대 이상,F,일식/수산물,5843018018,166042
202201,60대 이상,F,중식,1078451222,50094
202201,60대 이상,F,패스트푸드,1088093355,88322
202201,60대 이상,F,한식,15418663304,505473
202201,60대 이상,M,간이주점,1166729524,31536
202201,60대 이상,M,고기요리,10816128003,284362
202201,60대 이상,M,디저트/음료,6635075191,503109
202201,60대 이상,M,별식/퓨전요리,1994177208,107750
202201,60대 이상,M,분식,2455652377,181113
202201,60대 이상,M,양식,615906343,21458
202201,60대 이상,M,일식/수산물,9027169409,207518
202201,60대 이상,M,중식,1974338617,96857
202201,60대 이상,M,패스트푸드,1276682713,104032
202201,60대 이상,M,한식,22426491131,740489
202202,30대,F,간이주점,1254080519,34009
202202,30대,F,고기요리,6390292038,176475
202202,30대,F,디저트/음료,11321149618,1109741
202202,30대,F,별식/퓨전요리,1212735920,60388
202202,30대,F,분식,2401102272,208963
202202,30대,F,양식,1276403338,40427
202202,30대,F,일식/수산물,3350226633,77751
202202,30대,F,중식,1299256949,56259
202202,30대,F,패스트푸드,2977685487,250520
202202,30대,F,한식,11559140853,418836
202202,30대,M,간이주점,3152465715,71874
202202,30대,M,고기요리,12996518829,331063
202202,30대,M,디저트/음료,12332036272,1250151
202202,30대,M,별식/퓨전요리,2258132736,113617
202202,30대,M,분식,3350009706,271321
202202,30대,M,양식,2073990969,67284
202202,30대,M,일식/수산물,6481695640,127364
202202,30대,M,중식,2883949760,123692
202202,30대,M,패스트푸드,4511814086,397908
202202,30대,M,한식,20471328767,692587
202202,40대,F,간이주점,1358353053,39918
202202,40대,F,고기요리,10096832562,287593
202202,40대,F,디저트/음료,13986982090,1273545
202202,40대,F,별식/퓨전요리,1814655763,89310
202202,40대,F,분식,4160666847,338787
202202,40대,F,양식,1653892753,57006
202202,40대,F,일식/수산물,5254989917,127945
202202,40대,F,중식,2159818453,96042
202202,40대,F,패스트푸드,4184025797,345381
202202,40대,F,한식,17576364689,608995
202202,40대,M,간이주점,3193159964,72643
202202,40대,M,고기요리,18068615114,455939
202202,40대,M,디저트/음료,14290998948,1298126
202202,40대,M,별식/퓨전요리,3104625804,149094
202202,40대,M,분식,5011409943,380660
202202,40대,M,양식,2225061854,68302
202202,40대,M,일식/수산물,9810069844,191138
202202,40대,M,중식,4179963362,181567
202202,40대,M,패스트푸드,5121283327,408962
202202,40대,M,한식,29208072688,915495
202202,50대,F,간이주점,1054430615,30806
202202,50대,F,고기요리,9516080709,268636
202202,50대,F,디저트/음료,10586894811,890032
202202,50대,F,별식/퓨전요리,1675348674,83535
202202,50대,F,분식,3256849402,256815
202202,50대,F,양식,1082555607,39332
202202,50대,F,일식/수산물,6147122790,150932
202202,50대,F,중식,1784913026,78309
202202,50대,F,패스트푸드,2620869843,209943
202202,50대,F,한식,18043703311,615965
202202,50대,M,간이주점,2545087737,60001
202202,50대,M,고기요리,16535072231,421640
202202,50대,M,디저트/음료,10085173080,841129
202202,50대,M,별식/퓨전요리,2997002292,145403
202202,50대,M,분식,4059717257,301610
202202,50대,M,양식,1384203871,44949
202202,50대,M,일식/수산물,10650759363,215988
202202,50대,M,중식,3446848414,153619
202202,50대,M,패스트푸드,3134934670,244903
202202,50대,M,한식,29544909715,919117
202202,60대 이상,F,간이주점,441336198,12342
202202,60대 이상,F,고기요리,5057453187,150367
202202,60대 이상,F,디저트/음료,5516517842,436008
202202,60대 이상,F,별식/퓨전요리,938485688,49604
202202,60대 이상,F,분식,1573956563,122456
202202,60대 이상,F,양식,421509841,14277
202202,60대 이상,F,일식/수산물,4244854328,113174
202202,60대 이상,F,중식,911999327,43079
202202,60대 이상,F,패스트푸드,957876941,79162
202202,60대 이상,F,한식,11673421913,396735
202202,60대 이상,M,간이주점,1000986100,27281
202202,60대 이상,M,고기요리,8479058164,235371
202202,60대 이상,M,디저트/음료,5131136849,412448
202202,60대 이상,M,별식/퓨전요리,1742705378,93843
202202,60대 이상,M,분식,2078762509,156076
202202,60대 이상,M,양식,536401902,18369
202202,60대 이상,M,일식/수산물,7104854306,164163
202202,60대 이상,M,중식,1722929026,84962
202202,60대 이상,M,패스트푸드,1153321663,95032
202202,60대 이상,M,한식,18471859789,619903
202203,30대,F,간이주점,1799691872,48693
202203,30대,F,고기요리,8400480223,220643
202203,30대,F,디저트/음료,13887439141,1397683
202203,30대,F,별식/퓨전요리,1575634409,77195
202203,30대,F,분식,3041849525,263159
202203,30대,F,양식,1455369603,49362
202203,30대,F,일식/수산물,3976382046,93656
202203,30대,F,중식,1463243739,64719
202203,30대,F,패스트푸드,3456098553,293859
202203,30대,F,한식,14880456315,535761
202203,30대,M,간이주점,4738594410,107188
202203,30대,M,고기요리,17214557488,409158
202203,30대,M,디저트/음료,15293466578,1529991
202203,30대,M,별식/퓨전요리,2826792785,140156
202203,30대,M,분식,4193469435,336907
202203,30대,M,양식,2348478651,79911
202203,30대,M,일식/수산물,7851390432,153652
202203,30대,M,중식,3403824307,145085
202203,30대,M,패스트푸드,5145637966,454659
202203,30대,M,한식,26440825847,862474
202203,40대,F,간이주점,1894551225,55028
202203,40대,F,고기요리,12551362337,347542
202203,40대,F,디저트/음료,17298351981,1617153
202203,40대,F,별식/퓨전요리,2284783401,114239
202203,40대,F,분식,5021062170,417018
202203,40대,F,양식,1775041623,65858
202203,40대,F,일식/수산물,6188521940,151361
202203,40대,F,중식,2386156093,112412
202203,40대,F,패스트푸드,4577173433,396403
202203,40대,F,한식,21803606153,770881
202203,40대,M,간이주점,4758679089,106417
202203,40대,M,고기요리,23044174858,555530
202203,40대,M,디저트/음료,17870034149,1624290
202203,40대,M,별식/퓨전요리,3884776134,190237
202203,40대,M,분식,6166705209,474329
202203,40대,M,양식,2575535297,80749
202203,40대,M,일식/수산물,11782800425,227466
202203,40대,M,중식,4774195240,211043
202203,40대,M,패스트푸드,5706765116,471072
202203,40대,M,한식,37011621741,1149769
202203,50대,F,간이주점,1433571499,41492
202203,50대,F,고기요리,12029418258,335526
202203,50대,F,디저트/음료,13160696296,1118552
202203,50대,F,별식/퓨전요리,2131521337,108316
202203,50대,F,분식,4173281269,337679
202203,50대,F,양식,1235815487,48796
202203,50대,F,일식/수산물,7268846498,182892
202203,50대,F,중식,1986931372,92834
202203,50대,F,패스트푸드,3101814625,256799
202203,50대,F,한식,22737733305,789671
202203,50대,M,간이주점,3642600067,84646
202203,50대,M,고기요리,20593584916,517745
202203,50대,M,디저트/음료,12784238885,1053153
202203,50대,M,별식/퓨전요리,3696614566,184301
202203,50대,M,분식,5113479518,387535
202203,50대,M,양식,1602826029,55099
202203,50대,M,일식/수산물,12311400333,253930
202203,50대,M,중식,3957208145,183171
202203,50대,M,패스트푸드,3630190790,291867
202203,50대,M,한식,36684995065,1157052
202203,60대 이상,F,간이주점,537278331,16792
202203,60대 이상,F,고기요리,6716265441,199142
202203,60대 이상,F,디저트/음료,7086626157,569241
202203,60대 이상,F,별식/퓨전요리,1256615443,67816
202203,60대 이상,F,분식,2123605450,169975
202203,60대 이상,F,양식,519429477,18491
202203,60대 이상,F,일식/수산물,5222395229,148072
202203,60대 이상,F,중식,1088798084,53225
202203,60대 이상,F,패스트푸드,1183657388,99261
202203,60대 이상,F,한식,15603744048,531695
202203,60대 이상,M,간이주점,1302401951,36309
202203,60대 이상,M,고기요리,11079175144,304610
202203,60대 이상,M,디저트/음료,6915741412,525054
202203,60대 이상,M,별식/퓨전요리,2232337603,122385
202203,60대 이상,M,분식,2739281384,208467
202203,60대 이상,M,양식,648633161,23917
202203,60대 이상,M,일식/수산물,8424008957,200106
202203,60대 이상,M,중식,2072230077,106801
202203,60대 이상,M,패스트푸드,1425269367,117324
202203,60대 이상,M,한식,23950587494,807316
202204,30대,F,간이주점,2886781219,71761
202204,30대,F,고기요리,10788439616,258424
202204,30대,F,디저트/음료,16140194716,1615352
202204,30대,F,별식/퓨전요리,1738664662,80088
202204,30대,F,분식,3609866440,298856
202204,30대,F,양식,1942422546,60422
202204,30대,F,일식/수산물,5212013062,112974
202204,30대,F,중식,1716497421,71964
202204,30대,F,패스트푸드,3705739561,320835
202204,30대,F,한식,18829602833,638123
202204,30대,M,간이주점,6981183924,149214
202204,30대,M,고기요리,21112364686,456355
202204,30대,M,디저트/음료,16313133107,1684187
202204,30대,M,별식/퓨전요리,3013143016,140837
202204,30대,M,분식,4701413890,358711
202204,30대,M,양식,2908959698,89653
