category,amt,cnt,year_month
간이주점,23371526772.0,596739.0,202201
고기요리,77821866715.0,1581588.0,202201
닭/오리요리,47026223576.0,1696881.0,202201
별식/퓨전요리,20861113454.0,1035387.0,202201
분식,35337809312.0,2802462.0,202201
양식,16482426352.0,543320.0,202201
일식/수산물,75001869203.0,1667663.0,202201
제과/제빵/떡/케익,50928141269.0,3852865.0,202201
중식,24745151675.0,1115202.0,202201
커피/음료,67496950016.0,7220969.0,202201
패스트푸드,33791571763.0,2951257.0,202201
한식,214052365996.0,7247445.0,202201
간이주점,20026692928.0,507226.0,202202
고기요리,62656522345.0,1301403.0,202202
닭/오리요리,39533453916.0,1458092.0,202202
별식/퓨전요리,18109013307.0,909019.0,202202
분식,30033825068.0,2404300.0,202202
양식,13439800064.0,454830.0,202202
일식/수산물,59062653693.0,1319030.0,202202
제과/제빵/떡/케익,41336386707.0,3230849.0,202202
중식,21134776517.0,962213.0,202202
커피/음료,58833110385.0,6316808.0,202202
패스트푸드,30458564459.0,2626540.0,202202
한식,177428845378.0,6110530.0,202202
간이주점,28641166705.0,715252.0,202203
고기요리,82127427864.0,1669299.0,202203
닭/오리요리,48301962823.0,1740661.0,202203
별식/퓨전요리,22733280006.0,1155784.0,202203
분식,37589593202.0,3043502.0,202203
양식,15237164162.0,549955.0,202203
일식/수산물,69915357090.0,1585957.0,202203
제과/제빵/떡/케익,50949098454.0,4051403.0,202203
중식,24265535070.0,1141689.0,202203
커피/음료,73202239853.0,7860782.0,202203
패스트푸드,34988171452.0,3098445.0,202203
한식,225037544884.0,7760560.0,202203
간이주점,40369929599.0,958895.0,202204
고기요리,100726312064.0,1881311.0,202204
닭/오리요리,56221260606.0,1871454.0,202204
별식/퓨전요리,23874964871.0,1156881.0,202204
분식,42794618251.0,3327914.0,202204
양식,18764609851.0,632651.0,202204
일식/수산물,84262005535.0,1775909.0,202204
제과/제빵/떡/케익,51942359733.0,4080145.0,202204
중식,26254275173.0,1196644.0,202204
커피/음료,87535558887.0,9391850.0,202204
패스트푸드,36170719923.0,3261367.0,202204
한식,268169908606.0,8717352.0,202204
간이주점,49747051049.0,1167697.0,202205
고기요리,118454330286.0,2057070.0,202205
닭/오리요리,65350222027.0,2041524.0,202205
별식/퓨전요리,26581128985.0,1210820.0,202205
분식,47448538995.0,3550286.0,202205
양식,22194833841.0,692868.0,202205
일식/수산물,95099555040.0,1880778.0,202205
제과/제빵/떡/케익,53597674217.0,4095956.0,202205
중식,29771208020.0,1280113.0,202205
커피/음료,97222213724.0,10433629.0,202205
패스트푸드,38287849271.0,3484398.0,202205
한식,309127450531.0,9534923.0,202205
간이주점,48962207626.0,1148780.0,202206
고기요리,108813680749.0,1917848.0,202206
닭/오리요리,62561449793.0,1998994.0,202206
별식/퓨전요리,25429064432.0,1177140.0,202206
분식,45953949652.0,3410284.0,202206
양식,21005854835.0,659685.0,202206
일식/수산물,83802099185.0,1702818.0,202206
제과/제빵/떡/케익,49213493081.0,3853269.0,202206
중식,28963192790.0,1272393.0,202206
커피/음료,93902431587.0,10271306.0,202206
패스트푸드,37390277199.0,3374804.0,202206
한식,288744873343.0,9050157.0,202206
간이주점,48880353426.0,1140208.0,202207
고기요리,106701319703.0,1898760.0,202207
닭/오리요리,67966225896.0,2094200.0,202207
별식/퓨전요리,24563084654.0,1127682.0,202207
분식,46661176686.0,3391308.0,202207
양식,21506334525.0,661833.0,202207
일식/수산물,82357522335.0,1658165.0,202207
제과/제빵/떡/케익,47527912882.0,3718928.0,202207
중식,29556529035.0,1269328.0,202207
커피/음료,96418901494.0,10477940.0,202207
패스트푸드,37984003961.0,3345620.0,202207
한식,290272470366.0,9062607.0,202207
간이주점,46384885205.0,1090687.0,202208
고기요리,105480840936.0,1908603.0,202208
닭/오리요리,60121966248.0,1955661.0,202208
별식/퓨전요리,26844435081.0,1243604.0,202208
분식,48049938445.0,3533180.0,202208
양식,21793740837.0,664177.0,202208
일식/수산물,82268859854.0,1704992.0,202208
제과/제빵/떡/케익,50990156228.0,3979258.0,202208
중식,30086625656.0,1299282.0,202208
커피/음료,92676872334.0,10188445.0,202208
패스트푸드,39711845349.0,3489450.0,202208
한식,289356915477.0,9234734.0,202208
간이주점,47762332171.0,1096621.0,202209
고기요리,100678743089.0,1793159.0,202209
닭/오리요리,56975655278.0,1819407.0,202209
별식/퓨전요리,25918302540.0,1184515.0,202209
분식,44356437103.0,3339411.0,202209
양식,19897687716.0,619921.0,202209
일식/수산물,89272877036.0,1812369.0,202209
제과/제빵/떡/케익,54844385911.0,4052671.0,202209
중식,29233134303.0,1265619.0,202209
커피/음료,93665172199.0,10393045.0,202209
패스트푸드,38553354532.0,3403630.0,202209
한식,278856447781.0,8885841.0,202209
간이주점,49431812267.0,1132854.0,202210
고기요리,113272175335.0,2000163.0,202210
닭/오리요리,63736656900.0,1996765.0,202210
별식/퓨전요리,30347597522.0,1349202.0,202210
분식,49902988790.0,3714326.0,202210
양식,22833698039.0,691484.0,202210
일식/수산물,95019344157.0,1917405.0,202210
제과/제빵/떡/케익,54768526574.0,4116688.0,202210
중식,32630970888.0,1397363.0,202210
커피/음료,95665095068.0,10339420.0,202210
패스트푸드,40997078425.0,3540427.0,202210
한식,308241822833.0,9687148.0,202210
간이주점,44912203772.0,1015513.0,202211
고기요리,101626340348.0,1815382.0,202211
닭/오리요리,59796124298.0,1948574.0,202211
별식/퓨전요리,28143826798.0,1290140.0,202211
분식,44200153614.0,3406415.0,202211
양식,20343435242.0,625748.0,202211
일식/수산물,83351142489.0,1755889.0,202211
제과/제빵/떡/케익,51185407213.0,3779317.0,202211
중식,30448929791.0,1319509.0,202211
커피/음료,85343146277.0,9299630.0,202211
패스트푸드,37408943605.0,3236040.0,202211
한식,277657346283.0,8834475.0,202211
간이주점,48086670142.0,1014228.0,202212
고기요리,113922249613.0,1849050.0,202212
닭/오리요리,61051147631.0,1935722.0,202212
별식/퓨전요리,31603057911.0,1384984.0,202212
분식,44403127968.0,3268334.0,202212
양식,24112703025.0,644049.0,202212
일식/수산물,98683545050.0,1819457.0,202212
제과/제빵/떡/케익,57554766619.0,3976724.0,202212
중식,32802488329.0,1333906.0,202212
커피/음료,84629212722.0,8753576.0,202212
패스트푸드,38909597310.0,3162903.0,202212
한식,300178247066.0,8828030.0,202212
간이주점,47032378380.0,1012641.0,202301
고기요리,98439117938.0,1683025.0,202301
